title,artist,audio_url,lyrics,tags,hint,answer
좋다고 말해,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/좋다고말해_볼빨간사춘기_trimmed.mp3,"안녕,
오늘도 같은 자리 버스 창가에
기대 앉은 네게 인사를 해, Hi
역시 넌 받아 주지를 않네
인기 많고 잘생긴 넌 내게만
그렇게 쌀쌀하게 굴더라
근데 Last Night 기억나?
넌 내가 좋다고 했어
그 예쁜 가로등 아래서
넌 내가 좋다고 말했어
다음부턴 모른 척, 아닌 척해도
You Have To Know That
확신을 해야 돼 넌,
그 날 넌 내가 좋다고 했어 Yeah","10년대,여자 가수,인디,케이팝",ㅈㄷㄱ ㅁㅎ,좋다고말해
나의 사춘기에게,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/나의사춘기에게_볼빨간사춘기_trimmed.mp3,"나는 한때 내가 이 세상에 사라지길 바랬어
온 세상이 너무나 캄캄해 매일 밤을 울던 날
차라리 내가 사라지면 마음이 편할까
모두가 날 바라보는 시선이 너무나 두려워
아름답게 아름답던 그 시절을 난 아파서
사랑받을 수 없었던 내가 너무나 싫어서
엄마는 아빠는 다 나만 바라보는데
내 마음은 그런 게 아닌데 자꾸만 멀어만 가","10년대,여자 가수,인디,케이팝",ㄴㅇ ㅅㅊㄱㅇㄱ,나의사춘기에게
Seoul,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/Seoul_볼빨간사춘기_trimmed.mp3,"Seoul 처음 만난 낯선 도시에서
사람들 사이에 빛이 나는
기타를 멘 멋진 소년과 yeah
사랑에 빠진 Love Story
들어볼래? 지나치게도
소설 같은 이야기일 거야
Maybe Someday
꽃잎이 떨어지는 그날에
우리가 만난 그곳에서
멀리서 기타 소리가 들리면 나
너를 위해 노랠 부를 거야","2022,여자 가수,인디,케이팝",s____,seoul
사랑할 수밖에,볼빨간사춘기,https://singsonggame.s3.amazonaws.com/audios/사랑할수밖에_볼빨간사춘기_trimmed.mp3,"간지러웠어 널 보는 내 손이
다 주고 싶었어 내 안에 남은 사랑까지
지켜 주고 싶었어
널 감싼 세상이 혹여나 너를 아프게 하진 않을까 하고
난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야","2023,여자 가수,인디,케이팝",ㅅㄹㅎ ㅅㅂㅇ,사랑할수밖에
선물,멜로망스,https://singsonggame.s3.amazonaws.com/audios/선물_멜로망스_trimmed.mp3,"빛이 들어오면 자연스레 뜨던 눈
그렇게 너의 눈빛을 보곤
사랑에 눈을 떴어
항상 알고 있던 것들도 어딘가
새롭게 바뀐 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간","10년대,남자 가수,발라드,인디,케이팝",ㅅㅁ,선물
짙어져,멜로망스,https://singsonggame.s3.amazonaws.com/audios/짙어져_멜로망스_trimmed.mp3,"널 잊어보려 계속 노력하고 있어
괜히 더 즐거운 척 시간을 보내는 날 넌 모르겠지
행복한 척하며 지내다 보면 언젠가
너를 잊게 될 거라 믿으며 살고 있는 날 모르겠지
내가 노력해봐도 너 때문이라서
너는 더 짙어져 가고
혼자 남겨진 시간을 보내는 게 이젠
내겐 너무 두려운 일이 돼버렸단 걸 넌 모르겠지
네 꿈을 꾸는 밤이 오는 게 난 두려워
이젠 내게 밤이 무서워졌다는 걸 너는 모르겠지
내가 노력해봐도 너 때문이라 너는 더
짙어져 가고
너를 그리고
노력할수록 너는 계속 커져만 가겠지","10년대,OST,남자 가수,발라드,인디,케이팝",ㅈㅇㅈ,짙어져
욕심,멜로망스,https://singsonggame.s3.amazonaws.com/audios/욕심_멜로망스_trimmed.mp3,"아무리 오래된 친구라 해도
사랑이란 무거운 단어 앞에선
오래된 만큼 멀어질 수도 있단
사실을 알았었지
지금 함께 웃고 있는 널 보며
친구로 쌓아왔던 이 추억들을
앞으로 만들지 못하게 될까 봐
내 맘을 감췄었지
나의 사랑이
너와 함께 웃어줄 수 있는
시간조차도
뺏어버릴 그런 맘이 될까 봐
말조차 못하는데","10년대,남자 가수,발라드,인디,케이팝",ㅇㅅ,욕심
동화,멜로망스,https://singsonggame.s3.amazonaws.com/audios/동화_멜로망스_trimmed.mp3,"너의 마음속 내 모습들
언젠가 얘기해줬을 때
듣고 있는 날엔 어느새
날 위한 이야긴 듯해
너의 마음이 아니면 들을 수 없을 내 얘기들
네 안에 그려진 내 모습이 그저 고마울 뿐이야
너를 위한 이야기로 있어줄게
언제나 네 옆에서 힘이 돼줄게
항상 너만의 예쁜 이야기로
네 옆에 남아 있을게
","10년대,남자 가수,발라드,인디,케이팝",ㄷㅎ,동화
You,멜로망스,https://singsonggame.s3.amazonaws.com/audios/You_멜로망스_trimmed.mp3,"어떻게 난 해야 해 니가 떠난다고 말하면
난 혼자 남겨지는 게 더 두려울 텐데
말해준다면 조금 편할 것 같아
아주 작은 손짓조차도
내겐 소중한
너를 잊을 수 없는
슬픈 기억 속으로 보내 잠 못 이루겠지
YOU 비가 오는 거리에
혼자 버려진 채로 서 있는 날 생각해 봤니
혼자 있는 밤이면 니가 잠이 들던 자리엔
슬피 우는 나의 눈물로 모두 젖어 들 거야","10년대,남자 가수,발라드,인디,케이팝",y__,you
고백,멜로망스,https://singsonggame.s3.amazonaws.com/audios/고백_멜로망스_trimmed.mp3,"달이 차고 내 마음도 차고
이대로 담아 두기엔
너무 안타까워
너를 향해 가는데
달은 내게 오라 손짓하고
귓속에 얘길 하네
지금 이 순간이
바로 그 순간이야
제일 마음에 드는 옷을 입고
노란 꽃 한 송이를 손에 들고
널 바라 보다 그만
나도 모르게 웃어버렸네
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데","2021,남자 가수,발라드,인디,케이팝",ㄱㅂ,고백
