title,artist,audio_url,lyrics,tags,hint,answer
소원을 말해봐,소녀시대,https://singsonggame.s3.amazonaws.com/audios/소원을말해봐_소녀시대_trimmed.mp3,"아, 빨리 가고 싶다
아, 바다 좋다, 그쵸?
Turn it up (Let's go)
Just turn it up (빨리 달리고 싶다, let's go, woo, yes)
That's right (Woah, woo, haha)
Come on
네 맘속에 있는 작은 꿈을 말해봐
네 머리에 있는 이상형을 그려봐
그리고 나를 봐
난 너의 genie야, 꿈이야, genie야
드림카를 타고 달려봐
넌 내 옆자리에 앉아
그저 내 이끌림 속에 모두 던져
가슴 벅차 터져 버려도
바람결에 날려 버려도","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅅㅇㅇ ㅁㅎㅂ,소원을말해봐
Oh!,소녀시대,https://singsonggame.s3.amazonaws.com/audios/Oh!_소녀시대_trimmed.mp3,"전에 알던 내가 아냐, brand-new sound (I like the way you smile)
새로워진 나와 함께, one more round (Like the way you talk)
Dance, dance, dance 'til we run this town (Whenever you're ready)
오빠, 오빠, I'll be, I'll be down, down, down, down (Wanna be something new, oh)
Hey, 오빠, 나 좀 봐, 나를 좀 바라봐
처음이야 이런 내 말투, ha
머리도 하고 화장도 했는데
왜 너만, 너만 모르니?
두근두근, 가슴이 떨려와요
자꾸, 자꾸 상상만 하는걸요
어떻게 하나? 콧대 높던 내가
말하고 싶어
Oh, oh, oh, 오빠를 사랑해
Ah, ah, ah-ah, 많이, 많이 해
수줍으니 제발 웃지 마요","10년대,댄스,여자 가수,여자 아이돌,케이팝",o_!,oh!
Run Devil Run,소녀시대,https://singsonggame.s3.amazonaws.com/audios/RunDevilRun_소녀시대_trimmed.mp3,"똑바로 해, 넌 정말 bad boy
사랑보단 호기심뿐
그 동안 난 너 땜에 깜빡
속아서 넘어간 거야
넌 재미없어, 매너 없어
넌 devil, devil, 넌, 넌
네 핸드폰 (Oh) 수많은 남잔 (Oh)
한 글자만 (한 글자만; Oh) 바꾼 여자 (Oh)
내 코까지 (Oh) 역겨운 perfume (Oh)
누구 건지 (누구 건지; Oh) 설명해봐 (-봐-봐)
넌 나 몰래 누굴 만나는
끔찍한 그 버릇 못 고쳤니?
뛰어봐도 손바닥 안인걸
You better run, run, run, run, run
더는 못 봐, 걷어차줄래?","10년대,댄스,여자 가수,여자 아이돌,케이팝",run _____ ___,rundevilrun
훗,소녀시대,https://singsonggame.s3.amazonaws.com/audios/훗_소녀시대_trimmed.mp3,"Ooh
(No, no, no)
눈 깜빡할 사이 넌 또 check it out
지나가는 여자들 그만 좀 봐
아닌 척, 못 들은 척, 가시 박힌 코웃음
이상해 다, 다, 다 (다, 다, 다)
조금만 내게 친절하면 어때?
무뚝뚝한 말투 너무 아파 난
이런 게 익숙해져 가는 건 정말 싫어
속상해 다, 다, 다 (다, 다, 다; *Ooh-ooh-ooh-ooh*)
어딜 쳐다봐? (Ooh-ooh-ooh-ooh)
난 여기 있는데
너 때문에 내 마음은
갑옷 입고 이젠 내가 맞서 줄게
네 화살은 trouble, trouble, trouble","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅎ,훗
I Got a Boy,소녀시대,https://singsonggame.s3.amazonaws.com/audios/IGotaBoy_소녀시대_trimmed.mp3,"Ayo, GG
Yeah, yeah
시작해볼까?
어머, 얘 좀 봐라 얘
무슨 일이 있었길래 머리 잘랐대, 어?
어머, 또 얘 좀 보라고
머리부터 발끝까지 스타일이 바뀌었어
왜 그랬대? 궁금해 죽겠네
왜 그랬대? 말해봐봐 좀
Ha-ha-ha
Ayy, let me introduce myself
Here comes trouble, woo
따라해
Oh, oh-oh-eh-oh (Eh-eh, eh-eh)
Oh-oh-eh-oh-oh-oh-oh-oh (Oh-oh, oh-oh)","10년대,댄스,여자 가수,여자 아이돌,케이팝",i ___ _ ___,igotaboy
Mr. Mr.,소녀시대,https://singsonggame.s3.amazonaws.com/audios/MrMr_소녀시대_trimmed.mp3,"Let's go, 뭘 걱정하는데 넌?
됐고, 뭐가 또 두려운데?
재고 또 재다 늦어버려
Uh, uh, ooh-woah, uh, uh, ooh-woah
매일 하루가 다르게 불안해져가
앞서 가주길 바래 그 누군가가
넌 모른 척 눈을 감는
You bad, bad, bad boy, you so bad (Bad, bad, bad)
더 당당하게 넌 (Hey)
Mister, mister (날 봐)
Mister, mister (그래, 바로 너, 너, 너)
날 가슴 뛰게 한 (Hey)
Mister, mister (최고의 남자)
Mister, mister (그게 바로 너)
상처로 깨진 유리 조각도 (Oh-oh-oh, oh-oh-oh, oh-oh-oh)","10년대,댄스,여자 가수,여자 아이돌,케이팝",mr. __.,mr.mr.
Lion Heart,소녀시대,https://singsonggame.s3.amazonaws.com/audios/LionHeart_소녀시대_trimmed.mp3,"Ooh, 너와 너 처음 만났을때
Ooh, 마치 사자처럼 맴돌아
기회를 노려
내 맘 빼신 너
Ah, 넌 달라진 게 없어 여전히
난 애가 타고 또 타
사냥감 찾아
한 눈 파는 너
수백 번 밀어내야 했는데 (Ooh-ooh-ooh-ooh)
수천 번 널 떠나야 했는데
Tell me why
왜 맘이, 맘이 자꾸 흔들리니?
난 여기, 여기 네 옆에 있잖니
난 애가 타
내 맘이, 맘이 더는 식지 않게","10년대,댄스,여자 가수,여자 아이돌,케이팝",lion _____,lionheart
Party,소녀시대,https://singsonggame.s3.amazonaws.com/audios/Party_소녀시대_trimmed.mp3,"Hey, girls
Do you know what time it is?
Here we go!
여긴 summer, 지금 radio를 켜
흘러나오는 favorite song (Hey, turn it up)
뜨거운 리듬 이끄는 대로 drive (Ah, ah)
눈이 부신 여름 속으로, oh, oh
창을 넘어온 바람을 따라
지금, yeah, yeah, yeah, yeah, yeah
Singing, ""Yeah, yeah, yeah, yeah, yeah""
목소릴 높여, louder and louder
파도 소릴 따라
달려, here we go
We gon' rock, rock, rock, 짜릿하게 난 (Tonight)
(P-A-R-T-Y, P-P-P-P-A-R-T-Y, P-P-P-P—)","10년대,댄스,여자 가수,여자 아이돌,케이팝",p____,party
Holiday,소녀시대,https://singsonggame.s3.amazonaws.com/audios/Holiday_소녀시대_trimmed.mp3,"I’m feeling good, 이 날을 기다려왔어
처음 만난 그 순간처럼 다시 만난 너와 나
I’m feeling cool, 이제야 완벽해졌어
네 곁에 있는 이 순간 모든 게 달라졌어, yeah
Baby, baby, 널 모두 보여줘, 좀 더 다가올래?
걸음을 옮겨, 어디든 좋아, let’s go party
타오르는 저 불빛 아래서 이젠 즐겨볼래
머리 속은 비우고 모든 걸 내게 던져
멋진 날이 온 거야, 한참 기다린 순간
너와 나만을 위한 하루가 될 수 있게
지쳤던 맘은 던져버려
여기 너와 나 함께 즐기면 돼, oh-oh
(Ha)
Volume을 높여봐, feel the beat (Ooh)
지금 이 rhythm을 느껴봐, feeling good (Ooh-ooh)","10년대,댄스,여자 가수,여자 아이돌,케이팝",h______,holiday
FOREVER 1,소녀시대,https://singsonggame.s3.amazonaws.com/audios/FOREVER1_소녀시대_trimmed.mp3,"Forever one
It's love, it's love
We're not stopping
네가 머문 이 세상이 더
아름다운 건
겁 없이 외치던 말 '사랑해 너를'
영원하기에 (You and I)
터지는 눈물이, 말하잖아 (말하잖아)
난 그냥 전부 던진 거야
아무런 망설임 따위도 멋대로 끌렸던 그대로
Oh, my baby, 달려가 안을게
I love 너의 모든 것, 내 전부인 너
우리는 영원, we are one
전율 속에 뜨거운 그 맘을 던져
Just like a love bomb, we are one","2022,댄스,여자 가수,여자 아이돌,케이팝",f______1,forever1
Mr. Taxi,소녀시대,https://singsonggame.s3.amazonaws.com/audios/MrTaxi_소녀시대_trimmed.mp3,"만만히 볼 나라면 조심해 날 꽉 잡아
한번도 본적 없는 세상을 보여줄게
I'm so fast
Mr. Taxi, Taxi, Taxi 지금 즉시 즉시 즉시
따라 올 수 있겠니? Oops! 잡힐 듯 말듯 아슬
Mr. Taxi, Taxi, Taxi 지금 즉시 즉시 즉시
반짝반짝 빛나지 너도 몰래 빠져들어
난 그래 Supersonic n' hypertonic
기회는 지금뿐 U take me 짜릿해
Mr. Taxi, Taxi, Taxi 지금 즉시 즉시 즉시
Sorry 간단히 날 잡을 수는 없어
","10년대,댄스,여자 가수,여자 아이돌,케이팝",mr. ____,mr.taxi
가식걸,씨스타,https://singsonggame.s3.amazonaws.com/audios/가식걸_씨스타_trimmed.mp3,"you know it's bravesound
we doin it again sistar
second single uh shady girl
영화를 볼 때 면
난 깜짝 놀래야 해
너와 밥 먹을 때
난 항상 남겨야 해
슬프지 않아도 눈물을 흘려야 해
이런 내 마음을
너는 알고 있는지
물 한잔 마시고
난 취한 척 해야 해
아무리 힘들어도 항상 웃어야 해
배가 나와 보일까봐 긴장해야 돼","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㄱㅅㄱ,가식걸
So Cool,씨스타,https://singsonggame.s3.amazonaws.com/audios/SoCool_씨스타_trimmed.mp3,"웃기고 앉아있네
무슨 사랑이 장난이니
왜 자꾸만 맘대로 하는데
네가 뭐 그리 잘났는데
내 맘 아프게 하니
헛소린 집어치울래
난 빌고 빌었어
네가 네가 불행하라고
속상해서 그땐 그땐
그땐 정말 그랬어
난 빌고 빌었어
네가 네가 망가지라고
It's party time, party time
돌아보니 웃음만 나와","10년대,댄스,여자 가수,여자 아이돌,케이팝",so ____,socool
나혼자,씨스타,https://singsonggame.s3.amazonaws.com/audios/나혼자_씨스타_trimmed.mp3,"너무도 달콤한 니 말에 속아 이제와 혼자
Falling down
I'm falling down
차라리 만나지 말걸 그랬어
이렇게 될 줄 몰랐어
이토록 쉽게 우린 끝인가요
또 나 혼자 밥을 먹고
나 혼자 영화를 보고
나 혼자 노래하고
이렇게 나 울고 불고
넌 떠나고 없어
후회해도 소용없어
오늘도 나 혼자
Whoo whoo whoo whoo","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㄴㅎㅈ,나혼자
러빙유,씨스타,https://singsonggame.s3.amazonaws.com/audios/러빙유_씨스타_trimmed.mp3,"너땜에 그래
먼저 말하긴 싫은데
내 입가에 맴돌아
Loving you you
나 어떡해 what should I do?
조절이 안돼 내 맘
고장 나버린 heart
정신 못 차릴 만큼
Boy I'm falling in love with you you
나 어떡해 what should I do?
널 놓치면 난 안돼 사랑한다고
(Woo woo woo woo woo)
(Woo woo woo woo woo woo) baby I'm in love with you (S.I.S.)","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㄹㅂㅇ,러빙유
Give It to Me,씨스타,https://singsonggame.s3.amazonaws.com/audios/GiveIttoMe_씨스타_trimmed.mp3,"서른이 넘기 전에 결혼은 할는지
사랑만 주다 다친
내 가슴 어떡해 oh
애꿎은 빗소리에도 가슴이 아파서
아직도 어리고 여려 순진하고 여려
눈물은 많은지
Give it to me
Oh baby give it to me (Give it to me)
Give it to me
Oh baby give it to me (Oh baby, give it to me)
Oh oh oh oh oh, oh woah
Oh oh oh oh oh, oh woah
아무리 원하고 애원해도
눈물로 채워진 빈자리만
사랑을 달란 말이야
그거면 된다는 말이야
Oh baby give it to me","10년대,댄스,여자 가수,여자 아이돌,케이팝",give __ __ __,giveittome
Touch My Body,씨스타,https://singsonggame.s3.amazonaws.com/audios/TouchMyBody_씨스타_trimmed.mp3,"Touch my body (우린 조금씩 빠르게)
Oh, everybody (푸른 하늘 보다 높이)
지금 이 리듬이 좋아, 뜨거운 태양 아래 너와 나
My body, body, touch my body
Baby, so good (지금 기분은 paradise)
Baby, so nice (우리 둘만의 summer night)
조금씩 one-step, two-step, 달빛 아래 너와 나
My body, body, touch my body
Touch my body, body
Touch my body, body
Touch my body, body
Touch my body, oh-whoa","10년대,댄스,여자 가수,여자 아이돌,케이팝",touch __ ____,touchmybody
I Swear,씨스타,https://singsonggame.s3.amazonaws.com/audios/ISwear_씨스타_trimmed.mp3,"I I Swear 영화 속 고백처럼
찐하게 네 번째 손가락의
D.I.A 온 세상이 널 질투하게 해
I I Swear 저 별을 따서 내게 안겨줘
작은 농담은 귀엽게 봐줘
Baby I only wanna be with you
(I swear I swear I I swear)
변하지 않는 건
내 마음을 더하는 것
너에게 많은 것을
원하지도 않는 것
우리 둘만 사랑하다
함께 눈을 감는 것
난 그거 하나야 그저 그거 하나야","10년대,댄스,여자 가수,여자 아이돌,케이팝",i _____,iswear
Shake It,씨스타,https://singsonggame.s3.amazonaws.com/audios/ShakeIt_씨스타_trimmed.mp3,"
Ba-ba-baby
Love me, love me, love me now
흔들리는 내 맘 모르겠니
So, let's dance
Just shake it, let's dance (dance)
좀 더 핫하게, 완전 wild 하게
Make it louder (ooh-ooh-ooh)
더 크게 make it louder (ooh-ooh-ooh)
날 자꾸 흔들어, 흔들어, 놀라게 흔들어
Shake it, oh, shake it
밤새 나와 shake it, baby
아주 fun 하고 smart 하게 (흔들-흔들어)
온몸이 찌릿찌릿 우리 둘이 (흔들-흔들어)
심하게 통하니 여기 불났으니, when I move, 움직여 자리 잡았으니","10년대,댄스,여자 가수,여자 아이돌,케이팝",shake __,shakeit
I Like That,씨스타,https://singsonggame.s3.amazonaws.com/audios/ILikeThat_씨스타_trimmed.mp3,"내 걱정은 하지마 너 하나 없다고
너만 사라지면 돼 그거면 충분해
나몰래 찌르고 다닌
그 여자들이나 잘해줘
니가 좋아 널 사랑해
너의 그 말 웃기지마
넌 나 하나론 안돼
넌 원래 그런 놈이야
널 본걸 신께 원망해
니가 좋아 ooh ooh ooh ooh ooh
널 사랑해 ooh ooh ooh ooh ooh
내가 올해들은 말 중에
그 말이 최고야 I like that","10년대,댄스,여자 가수,여자 아이돌,케이팝",i ____ ____,ilikethat
Lonely,씨스타,https://singsonggame.s3.amazonaws.com/audios/Lonely_씨스타_trimmed.mp3,"너무 익숙해 이제
매번 끝까지 가네
이건 행복이 아냐
이건 사랑이 아냐
니가 뭘 하든 너에게 맞춰야 하지
널 이해하는 나니까
그냥 또 이렇게 아무 말 안 하고
넘어가야 편하겠지
대단한 걸 바라는 게 아냐
이제 많은 기대도 하지 않아
(다만) 끝이 날 까봐
이대론 널 잃을 까봐
너는 이제 내가 쉬워지니
너는 내 걱정들이 부담되니 우리
(우리 너무) 변했나 봐","10년대,댄스,여자 가수,여자 아이돌,케이팝",l_____,lonely
엘비스,AOA,https://singsonggame.s3.amazonaws.com/audios/엘비스_AOA_trimmed.mp3,"웬일이야 미쳤나봐 숨이 막혀와
온몸이 다 충격이야 찌릿 찌릿해
발소리 똑각 똑각 똑각
점점 더 똑각 똑각 똑똑각
봐봐봐 baby 난난난 쏙 빠져버렸어
휴휴휴 baby
하하하 hold me hold me now
내게로 똑각 똑각 똑각
다가와 똑각 똑각 똑똑각
Shalalalala Shalow Shalow
내 이름을 불러줘
Shalalalala Shalow Shalow
주문을 걸어볼까","10년대,댄스,여자 가수,여자 아이돌",ㅇㅂㅅ,엘비스
흔들려,AOA,https://singsonggame.s3.amazonaws.com/audios/흔들려_AOA_trimmed.mp3,"Boy keeps me fallin' in love
Yeah, you make me so blinded
Won't you be my love? Ooh-ooh-ooh
내가 빠졌어, 빠졌어, 처음 너를 봤을 때도
넌 아니야, 아니야 천 번을 소리쳐도
마음대로 잘 안돼, 뜻대로 잘 안돼
보일 듯 말 듯 너의 마음속이 안 보여
잡힐 듯 말 듯 너의 뒷모습이 멀어져
내가 사랑하면 안돼, oh, 너를 사랑하면 안돼
울컥 눈물이 주룩주룩, ooh
몰래, 아무도 모르게 몰래
왔다가 갔다가, 내 마음이, ooh-ooh
몰래, 아무도 모르게 몰래, oh
오늘도 눈물이 주룩주룩, ooh
너를 지웠어, 지웠어, 속으로 다짐해도","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅎㄷㄹ,흔들려
짧은 치마,AOA,https://singsonggame.s3.amazonaws.com/audios/짧은치마_AOA_trimmed.mp3,"Hey, hey, hey
A-O-A
Hey, hey, hey
Brave Sound, drop it
날 바라보는 시선이 (Hey)
너는 예전 같지가 않은걸 (않은 걸)
난 아직도 쓸 만한데 (쓸 만한데)
너는 왜 날 헌신짝 보듯이 해? (Hey)
너무 이뻐 보여
내가 뭐를 입던지
너무 섹시해 보여
굳이 노출 안 해도
아찔한 나의 하이힐 (*하이힐*)
새까만 스타킹 (*스타킹*)
도저히 눈을 뗄 수 없을걸","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅉㅇ ㅊㅁ,짧은치마
단발머리,AOA,https://singsonggame.s3.amazonaws.com/audios/단발머리_AOA_trimmed.mp3,"Woah-oh-oh (Hey, hey, hey)
Gonna be alright-right-right
Woah-oh-oh (Hey, hey, hey)
Uh, A-O-A
Woah-oh-oh (Hey, hey, hey)
Gonna be alright-right-right
Woah-oh-oh (Hey, hey, hey)
Brave Sound, let's do it
짧은 치말 입어볼까? (Hey)
아님 반바질 입을까? (Hey)
이것저것 고민하다 시간만 가
분홍 립스틱을 바를까? (Hey)
살이 좀 찐 것 같아 (Hey)
옷 입는 맵시가 나질 않아
오늘따라 머리가 맘에 안 들어","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㄷㅂㅁㄹ,단발머리
사뿐사뿐,AOA,https://singsonggame.s3.amazonaws.com/audios/사뿐사뿐_AOA_trimmed.mp3,"Hey (Hey, hahaha)
No matter where you go (그 어딜 봐도, yeah)
Aha, you know (I know), you know (I know)
I'm good, I'm hot, I'm fresh, I'm fly
Brave Sound
나 같은 애 첨 봤대 (Why?)
본 순간 느낌 왔대 (Why?)
수많은 사람 그 속에서도
유별나게도 난 빛이 났대 (Yeah)
날 따라 돌아가는 고개
나로 꽉 차버린 두 눈에
말을 걸까 말까 망설이는 모습
너무 귀여워
햇살은 나를 비추는 spotlight-light-light-light
나만이 그대 머릿속에 headline-line-line-line","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅅㅃㅅㅃ,사뿐사뿐
심쿵해,AOA,https://singsonggame.s3.amazonaws.com/audios/심쿵해_AOA_trimmed.mp3,"Ah, yeah (Brave Sound; eh-eh)
And it goes a little somethin' like this!
완전 반해, 반해버렸어요
(반해, 반해, yeah) (Yeah)
(바-반해, 반해버렸어요)
부드러운 목소리에
반해, 반해버렸어요
(반해, 반해, 반해--) (Right, right)
난 떨려 (A-O-A!)
Let's go!
내가 미쳤나봐, 왜 또 이러지? (Hey!)
내 마음 열여덟 소녀 마냥 막 쿵쿵대 (Woo!)
숨길 수 없나봐, 난 매일 이러지 (Hey!)
눈이라도 마주치면 귀까지 확 빨개져 (Ow!)
이해 못해? 네가 걔를 못 봐서 그래","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅅㅋㅎ,심쿵해
Good Luck,AOA,https://singsonggame.s3.amazonaws.com/audios/GoodLuck_AOA_trimmed.mp3,"어디서나 어딜 가나 당당한 walking
흑백 세상 속에 나는 컬러풀한 scene
Girls, girls on top
더 자신 있게, boom, boom, beat drop (Drop)
꾸미지 않아도 혼자 주목받는 skill (Oh)
재미없는 남자들은 한순간에 skip
Girls, girls on top
그중에서도 I'm, I'm the top (Ooh, oh)
날 둘러싸는 시선이
반해버린 눈빛이
시시하게 느껴져
Woah, woah, yeah, yeah
내 사랑 갖고 싶다면
내 마음 뺏고 싶다면
색다르게 시작해","10년대,댄스,여자 가수,여자 아이돌,케이팝",good ____,goodluck
빙빙,AOA,https://singsonggame.s3.amazonaws.com/audios/빙빙_AOA_trimmed.mp3,"Hey, I know what you want (Oh, yeah)
Look, look at me now
올 듯 말 듯 like a little boy
망설이지마
갈 듯 말 듯 멈칫하게 돼
그런 널 보면
Oh, 좀 솔직해져봐
감추지마
Boy, you show me
그만 내게 다가와, my baby
알지 못하니 body sign?
촉촉한 내 입술
내 숨겨왔던 비밀스러운 touch
너무 숨이 가빠와
두 눈을 감아도, oh, baby","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅂㅂ,빙빙
Excuse Me,AOA,https://singsonggame.s3.amazonaws.com/audios/ExcuseMe_AOA_trimmed.mp3,"잠깐 실례할게요
날 좀 봐요, 그댈 원해요
잠깐 실례할게요
잠깐만요 (*Hey*, three, two, one, go)
넌 너무 멋져, 난 아름답고
우린 보나 마나 천생연분일 거야
이런 기분 처음이야, 깜짝 놀랐는걸
나도 모르게 난 너에게
첫눈에 반했잖아, 심장이 멈추잖아
들리니 my heart, baby?
뭐 딴 거 보지 말고, 이제 날 느껴봐
Come on, baby, 이제 나에게로
잠깐만요, 시간 있나요?
날 좀 봐요, 그댈 원하잖아요
처음 뵙고 실례인 줄 알면서도","10년대,댄스,여자 가수,여자 아이돌,케이팝",excuse __,excuseme
빙글뱅글,AOA,https://singsonggame.s3.amazonaws.com/audios/빙글뱅글_AOA_trimmed.mp3,"Show it!
Ooh, ooh, ooh, ooh
Hey baby, come on, don't be shy
너를 말해봐 (Show it!)
Fantastic 한 느낌, ow!
(Ooh, ooh, ooh, ooh)
박혀버린 시선이 나를 주목해 (Show it!)
알면서도 모른 척, oh
(Ooh, ooh, ooh, ooh)
One-step, 가까이 와봐
Two-step, 가까이 와봐
조금 더 가까이 와봐
터질 듯 짜릿한 순간
이 떨림 뭐니? 처음 온 설렘
가슴이 왜 이래? 미친 것 같아","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㅂㄱㅂㄱ,빙글뱅글
날 보러 와요,AOA,https://singsonggame.s3.amazonaws.com/audios/날보러와요_AOA_trimmed.mp3,"Love in the dark
Hey, twilight
추운 겨울이 와도
내 눈 속에는 꽃이 피나 봐
첫눈에 알아본 걸까?
첫사랑처럼 두근대니까
날 보면 무슨 생각, 무슨 느낌, 그댄 어떤지
때론 알 수 없는 그 무표정 (표정)
솔직히 말을 하면 표현해줘, 돌리지 말고
하늘의 별을 잇듯 나에게 오는 길
어둠 속 더욱 더 우리 선명해지길
잠 못 드는 밤, 밤이 새도록
그대와 나 단둘이만 얘기하고파
가지고 싶어, 서둘러줘요
해 뜨기 전에","10년대,댄스,여자 가수,여자 아이돌,케이팝",ㄴ ㅂㄹ ㅇㅇ,날보러와요
Lie,T-ara,https://singsonggame.s3.amazonaws.com/audios/Lie_T-ara_trimmed.mp3,"사랑한단 거짓말
보고 싶을 거란 니 거짓말
다시 돌아온단 니 거짓말
모두 다 거짓말이야
지켜준단 거짓말
나 없이 못 산단 니 거짓말
이렇게 떠날거면서 날 버릴거면서
왜 내게 약속했니
너 아니면 난 안돼 안돼
너 아니면 정말 싫은데
왜 자꾸 날 떠밀어
왜 내 손을 놓으려 해
어쩌다 이렇게 됐는지
어쩌다 이런 건지
이럼 안되는데 안될거 아는데
널 보낼 자신이 없어
사랑한단 거짓말
보고 싶을 거란 니 거짓말
다시 돌아온단 니 거짓말
모두 다 거짓말이야","2025,댄스,여자 가수,여자 아이돌",l__,lie
TTL,T-ara,https://singsonggame.s3.amazonaws.com/audios/TTL_T-ara_trimmed.mp3,"떠나지마 다시 한번 돌아봐
이렇게 보낼 수 없는데
Never say goodbye
You won't make me cry
기다려 너 하나만
날 바라보던 너의 그 눈빛
널 놓친 난 정말 stupid
이미 가슴에 꽂힌 cupid의
화살도 뽑아버렸어
난 정말 바보지 쓸데없는 자존심
세우다 못해맘에도 없는 바보 같은 말로
딱 잘라서 너를 보냈어
이렇게 떠나 하루하루 어쩌나
아직까지 내게 이별은 서둘러
결국 내 입술은 참지","00년대,댄스,여자 가수,여자 아이돌,케이팝",t__,ttl
Bo Peep Bo Peep,T-ara,https://singsonggame.s3.amazonaws.com/audios/BoPeepBoPeep_T-ara_trimmed.mp3,"Don't lose your temper so, so, so quickly
Don't lose your temper so, so, so quickly
Don't lose—, don't lose—, don't lose—, quickly
Don't lose your temper so quickly, your—, so quickly
Bo peep, bo peep, bo peep, bo peep
Bo peep, bo peep, bo peep, ah
Bo peep, bo peep, bo peep, bo peep
Bo peep, bo peep, ah, ah
Bo peep, bo peep, bo peep, bo peep
Bo peep, bo peep, bo peep, ah
Bo peep, bo peep, bo peep, bo peep
Bo-bo peep, bo peep, ah, ah
아침부터 쭉 투정만 자꾸 부리고
다른 사람과 있냐고 의심하는 나
이젠 나에게 지쳤다고 말하는 너","00년대,댄스,여자 가수,여자 아이돌,케이팝",bo ____ __ ____,bopeepbopeep
Day by Day,T-ara,https://singsonggame.s3.amazonaws.com/audios/DaybyDay_T-ara_trimmed.mp3,"내품은 너에게 피난처
다른 사람에 나는 버려져
사랑 그 끝은 까만 터널속
보이지 않는 길이 나는 너무 두려워
태양이 내리쬐는 붉은 사막처럼
목말라 울고 있는 사람처럼
Kiss me, my baby, 이 밤이 가기전에
니 품이 그리워져
너무 사랑 했나봐
이 밤이 지나가면
눈물되어 톡!톡!톡!
저 은빛 달이 지면 사라질까
아직 남아있는 니 향기
꿈같던 추억들도 흩어질까
빗물처럼 멀리 톡!톡!톡!","10년대,댄스,여자 가수,여자 아이돌,케이팝",day __ ___,daybyday
Tiamo,T-ara,https://singsonggame.s3.amazonaws.com/audios/Tiamo_T-ara_trimmed.mp3,"하늘에 별도 가득가득 한듯해요
이렇게 좋은 날 울고 싶진 않은걸요
My love, my love
꼭 잡은 손 절대 놓지 않아요
약속할게 들어봐
동쪽이든 서쪽이든 어디든
그대와 함께라면 나는 어디든
우리 둘만의 암호
아마도 그대만큼
날 사랑해줄 사람은
우리 둘만의 암호
널 하나부터 열까지 세
열을 세고 다시 백까지 세
사랑이 지고 질 때까지 담고 싶어
내 눈에 오래오래 남기로 해","10년대,댄스,여자 가수,여자 아이돌,케이팝",t____,tiamo
Tell Me,원더걸스,https://singsonggame.s3.amazonaws.com/audios/TellMe_원더걸스_trimmed.mp3,"네가 날 혹시 안 좋아할까봐
혼자 얼마나 애태운지 몰라
그런데 네가 날 사랑한다니
어머나 다시 한 번 말해봐
Tell me, tell me, tell tell tell tell tell tell me
나를 사랑한다고 날 기다려왔다고
tell me, tell me, tell tell tell tell tell tell me
내가 필요하다 말해 말해줘요
tell me, tell me, tell tell tell tell tell tell me
자꾸만 듣고 싶어 계속 내게 말해줘
tell me, tell me, tell tell tell tell tell tell me
꿈이 아니라고 말해 말해줘요
","00년대,댄스,여자 가수,여자 아이돌,케이팝",tell __,tellme
So Hot,원더걸스,https://singsonggame.s3.amazonaws.com/audios/SoHot_원더걸스_trimmed.mp3,"왜 자꾸 쳐다보니, 왜?
내가 그렇게 예쁘니?
아무리 그렇다고 그렇게 쳐다보면
내가 좀 쑥스럽잖니
내가 지나갈 때 마다
고갤 돌리는 남자들
뒤에서 느껴지는 뜨거운 시선들
어떻게 하면 좋을지
난 너무 예뻐요
(I'm so fine) 난 너무 매력 있어
(I'm so cool) 난 너무 멋져
I'm so, so, so hot, hot","00년대,댄스,여자 가수,여자 아이돌,케이팝",so ___,sohot
Be My Baby,원더걸스,https://singsonggame.s3.amazonaws.com/audios/BeMyBaby_원더걸스_trimmed.mp3,"이런 적이 없는데 내가슴이 두근두근 두근대고
몇 번 본 적 없는데 니 모습이 자꾸 꿈에 나와
차분하려 하는데 니가 또 내 앞에만 나타나면
사랑한다고 말해버릴 것만 같아
Please be my baby, Please be my baby
너만 생각하면 미치겠어
니가 너무너무 갖고 싶어서 우
Make me your lady, Make me your lady
나의 사랑을 너에게 줄게
절대 후회하지 않게 해줄게 No","10년대,댄스,여자 가수,여자 아이돌,케이팝",be __ ____,bemybaby
Like This,원더걸스,https://singsonggame.s3.amazonaws.com/audios/LikeThis_원더걸스_trimmed.mp3,"Everybody, are you ready to party?
Get up, get up, uh
Like this yo like this
위 아래로 흔들어 like this
Like this yo like this
몸을 돌려 좌우로 like this
Like this yo like this
파도처럼 내려가 like this
Like this yo like this
다같이 stop 자 흔들어봐","10년대,댄스,여자 가수,여자 아이돌,케이팝",like ____,likethis
